Name,Blog,Gender
Tipa,"Chasing Dings!, West Karana",Female
Anarchae,An Archaeopteryx,Other
joargarrosh,"Musing over Pints and Coffee, MMO Casual",Male
Heartless,Heartless Gamer,Male
Belghast,Tales of the Aggronaut,Male
Blockade85,Words Under My Name,Male
Nimgimli,Dragonchasers,Male
Bhagpuss,Inventory Full,Male
Scopique,Scopique,Male
The Friendly Necromancer,The Friendly Necromancer,Male
Wilhelm,The Ancient Gaming Noob,Male
Crimson,Lisette's Mxtadventures,Other
Emily,Monsterlady's Diary,Female
Nik,Nik Kantar,Male
Ghastly,The Ghastly Mirror,Other
Frostilyte,Frostilyte Writes,Male
Dave Winer,Scripting News,Male
Jeff Atwood,Coding Horror,Male
Bruce Schneier,Schneier on Security,Male
Tim Bray,Ongoing,Male
Jamie Zawinski,Jamie Zawinski's Blog,Male
Tobold,Tobold's Blog,Male
Roger,Contains Moderate Peril,Male
Syp,Bio Break,Male
Azuriel,In An Age,Male
Stargrace,A Pixel Nomad,Female
Remy Porter,The Daily WTF,Other
Aywren,Aywren's Nook,Female
Mailvaltar,Mailvaltar,Male
Pete,Smith Talks Tech,Male
CrazyKinux,CrazyKinux's Musings,Male
Tofutush,Tofutush's Blog,Female
Magi,Indiecator,Other
Pixel One,Ready Pixel One,Female
WCRobinson,WCRobinson,Other
Naithin,Time to Loot,Male
Axxuy,Axxuy,Other
Juhis,Hamatti,Male
Michael,Virtual Moose,Male
Shintar,"Going Commando, Priest with a Cause",Female
Ron Gilbert,Grumpy Gamer,Male
JJM,usebox.net,Male
Kimimi,Kimimi the Game Eating She-Monster,Female
Cliffski,Cliffski's Blog,Male
The Rambler crew,Into the Void,Other
Warner,Life on the Wicked Stage,Male
Luna,Luna's Gaming Log,Female
Krista,Leeks Cosy Corner,Female
